State/UTs,Confirmed,Active,Recovered,Deceased
Maharashtra,110744,50567,56049,4128
Delhi,42829,25002,16427,1400
Tamil Nadu,46504,20681,25344,479
Gujarat,24055,5886,16664,1505
West Bengal,11494,5515,5494,485
Uttar Pradesh,13615,4948,8268,399
Haryana,7722,4057,3565,100
Andhra Pradesh,6456,3052,3316,88
Karnataka,7213,2989,4135,89
Rajasthan,12981,2895,9785,301
Madhya Pradesh,10935,2567,7903,465
Jammu and Kashmir,5220,2554,2604,62
Telengana,5193,2240,2766,187
Bihar,6650,2201,4409,40
Assam,4158,1984,2166,8
Kerala,2543,1348,1175,20
Odisha,4055,1190,2854,11
Chhattisgarh,1756,858,890,8
Jharkhand,1763,850,905,8
Punjab,3267,753,2443,71
Tripura,1086,652,433,1
Uttarakhand,1845,632,1189,24
Goa,592,507,85,0
Ladakh,555,472,82,1
Manipur,490,339,151,0
Himachal Pradesh,556,195,353,8
Mizoram,117,116,1,0
Puducherry,202,102,95,5
Nagaland,177,85,92,0
Arunachal Pradesh,91,84,7,0
Sikkim,68,64,4,0
Chandigarh,354,52,296,6
Dadra and Nagar Haveli,36,31,5,0
Meghalaya,44,18,25,1
Andaman and Nicobar,41,8,33,0
Daman and Diu,0,0,0,0
Lakshadweep,0,0,0,0
